case,specie,location,family,region,age,loads,ecoregion,date,Day,Month,Year,Season,lat,long,alt,tmean,drange,isotherm,tseason,tmax,tmin,trange,twet,tdry,twarm,tcold,prec,pwetm,pdrym,pseason,pwetq,pdryq,pwarm,pcold,PromedioDege,Bd_total,Bd+,Prevalence
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
0,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,0,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
1,Pleurodema_thaul,Alhue,Leptodactylidae,RM,Tadpole,222,CM,11-13-2017,13,11,2017,Spring,-34.0314,-71.0912,188,15.9,12.5,5,438.7,30.2,5.3,24.9,10.8,21,21.6,10.3,48.1,12.8,0,11,33.9,0.3,0.5,30.4,11.1,20,1,0.05
